id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980310668480420,NxHfkzA8Y,5577436063,小浩顶罪坐牢,#C罗领衔荣耀巡回赛#,,,,C罗领衔荣耀巡回赛,0,0,0,2023-12-18 14:47,Android客户端,,,,河南
4980309110295562,NxHcP1eT8,7785158342,星雪9,某些球迷就是嫉妒C罗的影响力罢了你们再怎么黑都没用某些球迷是谁就不说了懂得都懂,,,,,0,5,0,2023-12-18 14:41,一加 Ace 竞速版,['https://wx2.sinaimg.cn/large/008uRJk2gy1hkxxpo5f88j30k00yj0u2.jpg'],,,江西
4980308824296023,NxHcmi1AH,5191450395,评论大侠,发布了头条文章：《世界体坛商业价值第一人：收入超詹姆斯20年生涯，挤下梅西、C罗》O世界体坛商业价值第一人：收入超詹姆斯20年生涯，挤下梅西、C罗,http://t.cn/A6liMbK3,,,,0,0,1,2023-12-18 14:40,微博 weibo.com,,,,广东
4980067661250611,NxAVo5fl9,6420654776,Ronnie君,#c罗中国行#✦致全体罗迷中国行注意事项❖各位敬爱可爱亲爱的罗迷朋友，由于近期利雅得胜利将会在深圳展开为期长达约10天的中国行，这是一次可以展现我们中国球迷精神面貌与良好素质的最佳契机，我们应当对此前某国家队中国行出现的种种不文明行为说NO。✦我提倡各位小伙伴不要在厕所蹲伏发朋友圈炫耀；时刻注意保持个人卫生；不要在公共场合大骂脏话喊人大名；不要围堵酒店说Fuck；不要在体育馆乱扔垃圾；不要无视规定与安保冲球场冲球员；不要在酒店逗留偷球员身上的任何附属品包括“袜子”并在群里向他人炫耀；【不要随地下跪哭丧；】同时！还要注意混进罗迷群体进行个人演绎抹黑中国球迷形象的邪教，拒绝模仿研习学习关于“邪教”的任何行为。❖希望大家对以上行为“引以为戒”，做好自己，一起携手同行，抵制“邪教行为”共创人类文明美好的和谐社会，贡献自己的一份力量！#12月不走寻常路##c罗领衔荣耀巡回赛#,,,,"c罗中国行,12月不走寻常路,c罗领衔荣耀巡回赛",341,335,1538,2023-12-17 22:41,C罗超话,['https://wx4.sinaimg.cn/large/0070wpC0gy1hkx5yy2ah2j32gw2gwh2l.jpg'],,
4980308695060234,NxHc9leoG,2400885544,张虞小绾梓,抵制邪教#英超##c罗入围环足最终候选名单##梅西球迷下跪#,,,,"英超,c罗入围环足最终候选名单,梅西球迷下跪",0,0,1538,2023-12-18 14:39,❌内卷的iPhone客户端,,,4980067661250611,山西
4980238291309150,NxFmB5uzk,3722287572,UEFA欧冠联赛,本周末凯恩双响，将自己2023年总进球提高到51球，领跑年度射手榜！此外姆巴佩、C罗、哈兰德也都已打进了50球！目前4人剩余可能比赛场次为：凯恩1场、姆巴佩1场、C罗3场、哈兰德4场（2场联赛+2场世俱杯）；你认为最终年度射手王会花落谁家呢？#凯恩年度51球##拜仁3比0斯图加特#2023年度射手王会是谁？,,,,"凯恩年度51球,拜仁3比0斯图加特",24,188,5279,2023-12-18 10:00,微博网页版,,,
4980308263043628,NxHbscLMM,5602146739,AUGU213,我投给了“C罗”siu～,,,,,0,0,5279,2023-12-18 14:38,iPhone客户端,,,4980238291309150,辽宁
4980298173648021,NxGVbfj13,6337899969,忠州高尔夫,#C罗领衔荣耀巡回赛#和上海申花还有浙江队踢但是不来江浙沪我真的生气了,,,,C罗领衔荣耀巡回赛,0,1,2,2023-12-18 13:57,iPhone客户端,,,,上海
4980297655125290,NxGUllvjY,1802628793,cybery1,C罗就是我心中的年度竞技超话！2023#超话大赏#和我一起为TA加满热爱2023超话大赏,,,,超话大赏,0,0,0,2023-12-18 13:55,C罗超话,,,,陕西
4980296816529154,NxGSZrowW,5700492089,战影未了,C罗中国行主办方大家都别买，让我来！   #亿点曝光计划#L战影未了的微博视频,,,,亿点曝光计划,0,2,0,2023-12-18 13:52,微博视频号,,"http://f.video.weibocdn.com/o0/G1YqUdmklx08b2rVtx8Q010412007TaU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702998254&ssig=FIZp5RfQED&KID=unistore,video",,四川
