id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4980266038463368,NxG5lzvHW,7528967488,家住北极圈,梅西爱TA多一点！我为梅西增加了1点热爱值！2023#超话大赏#等你一起奔赴热爱！2023超话大赏,,,,超话大赏,0,0,0,2023-12-18 11:50,梅西超话,,,,辽宁
4980266022470867,NxG5kamMH,7528967488,家住北极圈,2023#超话大赏#闪耀开启！我已为梅西增加1点热爱值，来2023超话大赏为你热爱的超话打call！参与集卡还有机会赢得实物大奖哦！,,,,超话大赏,0,0,1,2023-12-18 11:50,超话,,,,辽宁
4980213289060423,NxEIgC11R,2018499075,直播吧,#阿根廷世界杯夺冠一周年#⭐️⭐️⭐️时间过得真快……一年前的那个夜晚，卡塔尔卢塞尔体育场，阿根廷时隔36年再次捧起大力神杯，梅西圆梦卡塔尔！仿佛就在昨日！如今一年过去了，梅西也已经远赴美国，开启一段新的旅程！并如愿捧起第八座金球奖！再次回忆起这场比赛，真的是跌宕起伏、要素拉满！堪称有史以来最精彩的一场世界杯决赛，许多经典画面依然历历在目！梅西黑袍加身举起大力神杯、姆巴佩的帽子戏法、大马丁扑出穆阿尼单刀……,,,,阿根廷世界杯夺冠一周年,962,323,5397,2023-12-18 08:20,直播吧超话,"['https://wx2.sinaimg.cn/large/784fda03ly1hkxmnujh4dj21900u0wp4.jpg', 'https://wx3.sinaimg.cn/large/784fda03ly1hkxmnt9w5zj215x0u042x.jpg', 'https://wx4.sinaimg.cn/large/784fda03ly1hkxmntf7euj21900u0dod.jpg', 'https://wx3.sinaimg.cn/large/784fda03ly1hkxmntf9tgj21900u011m.jpg', 'https://wx1.sinaimg.cn/large/784fda03ly1hkxmntxup7j20p018j7go.jpg', 'https://wx3.sinaimg.cn/large/784fda03ly1hkxolkr0mfj21kw11845p.jpg', 'https://wx3.sinaimg.cn/large/784fda03ly1hkxmnuukwpj20u010htdd.jpg', 'https://wx2.sinaimg.cn/large/784fda03ly1hkxmntk4l8j21900u0n8w.jpg', 'https://wx2.sinaimg.cn/large/784fda03ly1hkxmnuy1bwj21900u0gtq.jpg']",,
4980265898479980,NxG57zA1S,6449037237,艾玛的萌猫儿,其实去年世界杯印象最深刻的是决赛，阿根廷的关键战也是我的关键战，1819号正好是我找工作进行笔试面试的两天，阿根廷赢了，我也签约了。这些年这一路我的经历也像阿根廷夺冠之路一样折戟沉沙，但最后，我们都不负众望。梅西是阿根廷队夺冠的中坚力量，我们是自己人生之路的决定者。,,,,,0,0,5397,2023-12-18 11:49,荣耀50 SE 5G,,,4980213289060423,广西
4980253153821044,NxFKzg21K,2579391171,R骄傲的少年,#阿根廷世界杯夺冠一周年#一年了，至今还沉浸在夺冠的喜悦之中。我想，无论多少年以后，想起一年前那个夜晚我依然会心潮澎湃。我爱这支阿根廷，我爱梅西，我爱大马丁，我爱迪玛利亚，我爱德保罗。,,,,阿根廷世界杯夺冠一周年,0,1,2,2023-12-18 10:59,微博轻享版,"['https://wx1.sinaimg.cn/large/99be62c3gy1hkxraakqhnj20xw0m30yy.jpg', 'https://wx1.sinaimg.cn/large/99be62c3gy1hkxrab4i0pj20xw0ml108.jpg']",,,山东
4980252856812421,NxFK5sAdL,7307551603,Soy-Leo,#阿根廷世界杯夺冠一周年#一年了，刷到夺冠片段还是会热泪盈眶，永远忘记不了那段时间的感动！这一年在北京见到了梅西希望未来一年有机会去到迈阿密再次见到梅西梅西让我爱上了足球，爱上了阿根廷队，希望婷人永远团结永远在Top,,,,阿根廷世界杯夺冠一周年,0,0,1,2023-12-18 10:57,真我GT Neo2,"['https://wx1.sinaimg.cn/large/007YxJZxly1hkxr8gqo79j30sz1kwtk0.jpg', 'https://wx1.sinaimg.cn/large/007YxJZxly1hkxr8f14u5j31900u0wtm.jpg', 'https://wx4.sinaimg.cn/large/007YxJZxly1hkxr8fx5tnj30n014wany.jpg', 'https://wx4.sinaimg.cn/large/007YxJZxly1hkxr8gf0zlj30u61hm7jm.jpg', 'https://wx3.sinaimg.cn/large/007YxJZxly1hkxr8i6rqpj30u00u0n52.jpg', 'https://wx1.sinaimg.cn/large/007YxJZxly1hkxr8hh2jmj30q91kv11v.jpg', 'https://wx1.sinaimg.cn/large/007YxJZxly1hkxr8hulpmj30u00semzn.jpg', 'https://wx1.sinaimg.cn/large/007YxJZxly1hkxr8fga96j31a50u07di.jpg', 'https://wx4.sinaimg.cn/large/007YxJZxly1hkxr8imondj30zo0xq7bd.jpg']",,,山东
4847664204612369,MjZXKjlT3,2312738937,思想品读,球星传记/剧情纪录片:Messi球神梅西(上下合集)由西班牙导演ÁlexdelaIglesia执导的这部自传体半记录半剧情片，完整描述阿根廷足球天王巨星梅西(LionelMessi)的童年时期到成名，最终缔造出球坛传奇的的成长过程！【上集：天选之子】【下集：与神同行】⚽️《罗纳尔多》→⚽️《内马尔》→.（L独处的纳兰88的微博视频）,,,,,547,11,274,2022-12-17 13:57,微博视频号,,"http://f.video.weibocdn.com/o0/wSGPXnQClx081wjeOhJ60104120H9R6U0E0g0.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702997748&ssig=gprZlrQTuZ&KID=unistore,video",
4980252545126173,NxFJAlvyd,1769544670,郑克强,摘：上集：天选之子；下集：与神同行。值得观赏的梅西足球神奇表演……👀👀,,,,,9,0,274,2023-12-18 10:56,iPhone 15,,,4847664204612369,江西
4980252050458652,NxFIN1VjC,5857739002,Xzsosday,微博年度关注男运动员评选，我已为@梅西LeoMessi10助力，你也快来一起参与吧！#体育大赏#O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 10:54,微博体育,,,,浙江
4980252025293318,NxFIKmd26,1700832492,晓看世间夜赏梅,梅西对许多四年一届共襄盛举的观众来说，一支球队走到世界杯冠军不过七场比赛，可对我来说远不止如此。那是自2014年一步之遥时隔八年的痛苦又漫长等待；是首战沙特爆冷失利后，小队长顶着巨大压力站出来请求球迷们“相信他们，球队不会让球迷失望”；是梅西挽狂澜于既倒的一记神仙贴地斩，是16岁少年恩佐为挽留偶像写下的诗《我该如何挽留你》，是无惧“五大联赛边角料”质疑挺身而出的年轻人们——小麦、河床双星、98line；是场场跑到红温、拼着职业生涯报废也要上场的德宝；是“错过的决赛重来”的天使和他的世界杯最佳配合进球；是大马丁的手可摘星辰和神扑点球，是他122分钟拦住致命绝杀的左腿；是劳塔罗完成的自我救赎，是蒙铁儿的一锤定音；是斯卡和教练组的天才起手、神来之笔，是他的战术喝水和静默后释放的连串泪水。还有，每一场赛前人均与小队长的爱的拥抱，百折不挠的潘帕斯雄鹰精神，“穷的只剩下团结”的人心齐泰山移。可以说，在我与世界杯互相陪伴的日子里，阿根廷夺冠是充满不确定性的2022年里唯一确定的人间童话，向世人昭示好人好报终得圆满。你问我提到梅西带领阿根廷夺冠，为何常眼睛袅袅，我告诉你：因为上面所列的每一点一滴，以及未尽列出的每一秒感动与快乐，这是属于梅西、阿根廷球迷和所有热爱足球的人共同记忆。我想，人生总要有一段这样荡气回肠的记忆吧！当比赛结束、关掉电视，推开门面临生活的考验，这回忆可以支撑人走很久很久，而这就是梅西与足球赋予我一个普通人价值连城、不可替代的意义❤️🥹#阿根廷世界杯夺冠一周年##梅西#,,,,"阿根廷世界杯夺冠一周年,梅西",2,2,33,2023-12-18 10:54,梅西超话,"['https://wx4.sinaimg.cn/large/6560a4ecly1hkxpl9uq5rj20u015cn65.jpg', 'https://wx3.sinaimg.cn/large/6560a4ecly1hkxpmwdot8j20sb11r0zb.jpg', 'https://wx4.sinaimg.cn/large/6560a4ecly1hkxplan149j21910u0gr9.jpg', 'https://wx3.sinaimg.cn/large/6560a4ecly1hkxpl8l2mgj20g60iwjto.jpg', 'https://wx4.sinaimg.cn/large/6560a4ecly1hkxplbnt2qj20pj0sggum.jpg', 'https://wx3.sinaimg.cn/large/6560a4ecly1hkxpm5fwwtj21jk0tok6u.jpg']",,,北京
4980251793033836,NxFIncJeQ,7315734940,Favoritaezi,一年前的今天，看决赛之时，你是什么状态？梅西#阿根廷世界杯夺冠一周年#,,,,阿根廷世界杯夺冠一周年,2,16,37,2023-12-18 10:53,梅西超话,['https://wx1.sinaimg.cn/large/007Z64QQly1hkxr3cb6slj30t310d4ba.jpg'],,,北京
4980251654619706,NxFI9jnNo,7707555009,一只娪咩咩,#阿根廷世界杯夺冠一周年##梅西#美好,,,,"阿根廷世界杯夺冠一周年,梅西",0,0,4,2023-12-18 10:53,梅西超话,"['https://wx2.sinaimg.cn/large/008pC79ngy1hkxr3gu05aj315x0u079i.jpg', 'https://wx4.sinaimg.cn/large/008pC79ngy1hkxr3fsp38j30w01kwwrd.jpg', 'https://wx4.sinaimg.cn/large/008pC79ngy1hkxr3gbkvqj30zj251wng.jpg', 'https://wx3.sinaimg.cn/large/008pC79ngy1hkxr3hddftj31jk1117kv.jpg']",,,福建
4980251311998176,NxFHB8nOE,1998865772,他大姨66,#体育大赏#我已为@梅西LeoMessi10助力，和我一起参与微博年度关注男运动员评选，为TA助力只因热爱！O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 10:51,微博体育,,,,辽宁
4980250298286660,NxFFXyLJO,2481471173,iYanxushi,微博年度关注男运动员评选，我已为@梅西LeoMessi10助力，你也快来一起参与吧！#体育大赏#O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 10:47,微博体育,,,,贵州
4980249961957126,NxFFq8d8y,5270075097,co1ar,#阿根廷世界杯夺冠一周年#转眼间就一周年了，时间过得好快，去年世界杯期间我🐑了，发着烧熬着夜看球，一切的一切都令人难忘，这一年真的很幸福，谢谢梅西和🇦🇷队💙🤍,,,,阿根廷世界杯夺冠一周年,0,2,16,2023-12-18 10:46,Leo窝尊嘟超爱你,['https://wx3.sinaimg.cn/large/005KEHhfly1hkxqwy4ixdj31jk11119b.jpg'],,,山东
4980237937149451,NxFm1tZTJ,6333774962,就犯困怎么了,#体育大赏#我已为@梅西LeoMessi10助力，和我一起参与微博年度关注男运动员评选，为TA助力只因热爱！O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 09:58,微博体育,,,,湖北
4980237848806261,NxFlSAWUt,1263692934,第一球迷胖哥,#闽大评##阿根廷世界杯夺冠一周年#一年前的今天，2022年12月18日，卢塞尔体育场，阿根廷队在@梅西LeoMessi10的带领下夺得世界杯冠军！这一天也成为阿根廷球迷们生命里最难忘的一天！#梅西世界杯夺冠一周年#,,,梅西LeoMessi10,"闽大评,阿根廷世界杯夺冠一周年,梅西世界杯夺冠一周年",0,0,5397,2023-12-18 09:58,,,,4980213289060423,福建
4980237329500053,NxFl2DRoF,2924223923,bRavo_21,人这一生有机会当一次唐吉诃德是幸运Elprimeraniversario一周年纪念💙💙#阿根廷世界杯夺冠一周年#梅西,,,,阿根廷世界杯夺冠一周年,0,0,7,2023-12-18 09:56,梅西超话,"['https://wx1.sinaimg.cn/large/ae4c1db3ly1hkxpgal0i9j20u013f4ay.jpg', 'https://wx4.sinaimg.cn/large/ae4c1db3ly1hkxpgb2rcxj20l10x1q6t.jpg', 'https://wx2.sinaimg.cn/large/ae4c1db3ly1hkxpgbhj4lj20u00jutbb.jpg', 'https://wx2.sinaimg.cn/large/ae4c1db3ly1hkxpgbvdlwj20n00n0n0x.jpg']",,,陕西
4980237001034831,NxFkw4lcP,3543420821,八座金球两座劳伦斯,更衣室的庆祝#阿根廷世界杯夺冠一周年#L八座金球两座劳伦斯的微博视频,,,,阿根廷世界杯夺冠一周年,13,1,125,2023-12-18 09:54,梅西超话,,"http://f.video.weibocdn.com/u0/r0A6fURXgx08b2bBolTq01041200s63D0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702997761&ssig=8hnYUv0UWx&KID=unistore,video",,重庆
4980236988973904,NxFkuBEwo,1362217967,马特奥的家长放学来一下,#体育大赏#我已为@梅西LeoMessi10助力，和我一起参与微博年度关注男运动员评选，为TA助力只因热爱！O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 09:54,微博体育,,,,广东
4980236523933447,NxFjKgvgH,7483660490,卡比巴拉桑,微博年度关注男运动员评选，我已为@梅西LeoMessi10助力，你也快来一起参与吧！#体育大赏#O微博年度关注男运动员,,,梅西LeoMessi10,体育大赏,0,0,0,2023-12-18 09:52,微博体育,,,,天津
4980236393646390,NxFjxfiAK,1818794507,逗逗儿ma,#阿根廷世界杯夺冠一周年#⭐️⭐️⭐️过程如此坎坷，结局无比圆满❤️阿根廷球迷俱乐部梅西,,,,阿根廷世界杯夺冠一周年,0,0,0,2023-12-18 09:52,,"['https://wx4.sinaimg.cn/large/6c689a0bgy1hkxpcqslewj20xc0m8gw5.jpg', 'https://wx3.sinaimg.cn/large/6c689a0bgy1hkxpctl5wmj21jk111qf3.jpg']",,,四川
4980235844715050,NxFiEjMBc,6882947163,青鸾体育,#阿根廷世界杯夺冠一周年#再次回忆起这场比赛，真的是跌宕起伏、要素拉满！堪称有史以来最精彩的一场世界杯决赛，许多经典画面依然历历在目！梅西黑袍加身举起大力神杯、姆巴佩的帽子戏法、大马丁扑出穆阿尼单刀……L青鸾体育的微博视频,,,,阿根廷世界杯夺冠一周年,0,0,0,2023-12-18 09:50,微博视频号,,"http://f.video.weibocdn.com/o0/yMNIqzS6lx08b2bhOck8010412009Wu90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1702997761&ssig=AkCjgG17lm&KID=unistore,video",,
4980235671437788,NxFin6228,7632832760,重庆移通学院学生体育联合会,【阿育轻松一刻】#阿根廷世界杯夺冠一周年#一年前的今天，2022年12月18日，卢塞尔体育场⚽️，阿根廷队在梅西的带领下夺得世界杯冠军🏆！这一天也成为阿根廷球迷们生命里最难忘的一天！去年今日，你在哪里见证这一历史时刻👀？重庆移通学院重庆移通学院学生体育联合会图源：网络,,重庆·重庆移通学院,,阿根廷世界杯夺冠一周年,0,1,0,2023-12-18 09:49,Android,['https://wx2.sinaimg.cn/large/008kyAtOgy1hkxpa0ypzaj30j60y5wm4.jpg'],,,重庆
